id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1410980097562005509,1410980097562005509,2021-07-02 15:14:04 UTC,2021-07-02,15:14:04,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,2022,und,[],[],[],52,397,5013,[],[],https://twitter.com/YutoNagatomo5/status/1410980097562005509,False,https://twitter.com/soccerkingjp/status/1410939847942971393,0,,,,,,,,[],,,,
1410897537171529732,1410873436595884032,2021-07-02 09:46:00 UTC,2021-07-02,09:46:00,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,@minowanowa ありがとうございます🙏,ja,[],[],[],0,0,6,[],[],https://twitter.com/YutoNagatomo5/status/1410897537171529732,False,,0,,,,,,,,"[{'screen_name': 'minowanowa', 'name': '箕輪厚介', 'id': '2903386622'}]",,,,
1410873436595884032,1410873436595884032,2021-07-02 08:10:14 UTC,2021-07-02,08:10:14,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,加藤シェフの料理は美味しさ、栄養素ともに絶品です👍👏 興味ある方は是非！！,ja,[],[],[],3,38,491,[],[],https://twitter.com/YutoNagatomo5/status/1410873436595884032,False,https://twitter.com/cuore_kato/status/1410753849103556615,0,,,,,,,,[],,,,
1410132261278679049,1410132261278679049,2021-06-30 07:05:04 UTC,2021-06-30,07:05:04,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,今日は ＃ビフィズス菌トレ でサポート頂いている森永乳業さんを訪問してきました！ 森永乳業の ＃ビフィズス菌 を1年間継続摂取して、僕自身シーズン中も確かなコンディション向上を実感できているので、これからも引き続き ＃ビフィズス菌トレ 継続します！  https://t.co/Y6pW3WLMRl,ja,[],[],"['https://pbs.twimg.com/media/E5HL0LoVUAcTnMM.jpg', 'https://pbs.twimg.com/media/E5HL0LoVkAkIPF2.jpg']",5,42,619,"['ビフィズス菌トレ', 'ビフィズス菌', 'ビフィズス菌トレ']",[],https://twitter.com/YutoNagatomo5/status/1410132261278679049,False,,1,https://pbs.twimg.com/media/E5HL0LoVUAcTnMM.jpg,,,,,,,[],,,,
1409859919688323075,1409859919688323075,2021-06-29 13:02:53 UTC,2021-06-29,13:02:53,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,1日で260％達成！！ ありがとうございます！,ja,[],[],[],3,29,427,[],[],https://twitter.com/YutoNagatomo5/status/1409859919688323075,False,https://twitter.com/Kohei2Shiraishi/status/1409826919118299141,0,,,,,,,,[],,,,
1409456421716959232,1409456421716959232,2021-06-28 10:19:32 UTC,2021-06-28,10:19:32,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,本日、鈴廣かまぼこさんと共同開発したフィッシュプロテインバー挑・蒲鉾をマクアケで販売開始致しました！ ・1本でタンパク質15g ・化学調味料と保存料不使用 ・天然素材を使用 全ての方にオススメできる美味しくて、機能的なかまぼこになっています！ #魚肉たんぱく同盟  https://t.co/U3U9K4a2EQ,ja,[],['https://www.makuake.com/project/cho-kamaboko/'],[],3,81,553,['魚肉たんぱく同盟'],[],https://twitter.com/YutoNagatomo5/status/1409456421716959232,False,,0,,,,,,,,[],,,,
1407908353079119874,1407908353079119874,2021-06-24 03:48:03 UTC,2021-06-24,03:48:03,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,2022  高まる“ポスト長友”探しの風潮に、長友佑都が心から願うことは？(REAL SPORTS) #Yahooニュース  https://t.co/AzKywzZP0v,ja,[],['https://news.yahoo.co.jp/articles/0880377e53ea9a4a9ce4f1215952a48b80f1b988'],[],3,73,738,['yahooニュース'],[],https://twitter.com/YutoNagatomo5/status/1407908353079119874,False,,0,,,,,,,,[],,,,
1404791347945500674,1404791347945500674,2021-06-15 13:22:11 UTC,2021-06-15,13:22:11,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,5連勝！！ 充実した代表期間を過ごし、5連勝で締めくくれました。 応援ありがとうございました！ また日の丸を背負えるように、自分自身を磨き、パワーアップします！ 僕はこれからオフに入るので、少し休みます。 #早く家族に会いたい  #写真はFC東京ファミリー🔵🔴  https://t.co/uz7jHVQeJA,ja,[],[],['https://pbs.twimg.com/media/E37SR7rVgAADoOt.jpg'],28,488,6246,"['早く家族に会いたい', '写真はfc東京ファミリー']",[],https://twitter.com/YutoNagatomo5/status/1404791347945500674,False,,1,https://pbs.twimg.com/media/E37SR7rVgAADoOt.jpg,,,,,,,[],,,,
1404601681703145477,1404601681703145477,2021-06-15 00:48:31 UTC,2021-06-15,00:48:31,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,38歳にして厳しいフランスで2年契約を勝ち取った男。 とにかく強く、しぶとい。 しぶとしぎる。。 そのメンタリティを探りにいったお話。  【Team Cam 特別編】長友佑都・川島永嗣の熱い話 ～長年日本代表で活躍する2人の挫折の乗り越え方～  https://t.co/GsBDK9vFMZ @YouTubeより,ja,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['https://youtu.be/pM5zfvoKgQM'],[],11,335,4369,[],[],https://twitter.com/YutoNagatomo5/status/1404601681703145477,False,,0,,,,,,,,[],,,,
1404600179123113986,1404600179123113986,2021-06-15 00:42:33 UTC,2021-06-15,00:42:33,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,本日19時25分kick off vs キルギス 5連勝で終われるように。 一丸となって戦う！ 応援よろしくお願いします！ @jfa_samuraiblue  https://t.co/q5POQCg4ze,ja,"[{'screen_name': 'jfa_samuraiblue', 'name': 'サッカー日本代表【u24】vs🇭🇳7.12@ヨドコウ／vs🇪🇸7.17@ノエスタ', 'id': '108260481'}]",[],['https://pbs.twimg.com/media/E34kapjVcAEQTdQ.jpg'],19,125,2072,[],[],https://twitter.com/YutoNagatomo5/status/1404600179123113986,False,,1,https://pbs.twimg.com/media/E34kapjVcAEQTdQ.jpg,,,,,,,[],,,,
1403602960987299843,1403602960987299843,2021-06-12 06:39:58 UTC,2021-06-12,06:39:58,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,セルビア戦勝利！ 次の試合も勝ち、全勝で終えられるように頑張ります！ 応援ありがとうございました！ @jfa_samuraiblue  https://t.co/TrjRpeCeMe,ja,"[{'screen_name': 'jfa_samuraiblue', 'name': 'サッカー日本代表【u24】vs🇭🇳7.12@ヨドコウ／vs🇪🇸7.17@ノエスタ', 'id': '108260481'}]",[],"['https://pbs.twimg.com/media/E3qZcmlXEAE1fsO.jpg', 'https://pbs.twimg.com/media/E3qZcmmXEAMG0Er.jpg']",21,120,3772,[],[],https://twitter.com/YutoNagatomo5/status/1403602960987299843,False,,1,https://pbs.twimg.com/media/E3qZcmlXEAE1fsO.jpg,,,,,,,[],,,,
1402961912199925762,1402961912199925762,2021-06-10 12:12:40 UTC,2021-06-10,12:12:40,+0000,3227955138,yutonagatomo5,Yuto Nagatomo | 長友佑都,,ありがとうございます！ 頑張ります！,ja,[],[],[],0,15,401,[],[],https://twitter.com/YutoNagatomo5/status/1402961912199925762,False,https://twitter.com/TeeKeyy/status/1402957965670318081,0,,,,,,,,[],,,,
