id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413829112771252226,1413829112771252226,2021-07-10 11:55:02 UTC,2021-07-10,11:55:02,+0000,227366887,mens_ex,MEN'S EX編集部,,「Ｔシャツが似合わない大人」に試してほしい高級パックＴの実力 | MEN'S EX ONLINE |  https://t.co/0xq2eqlM5M  https://t.co/E9xbOsow4R,ja,[],['https://www.mens-ex.jp/archives/1201379'],['https://pbs.twimg.com/media/E57uFXIWUAM2Foc.jpg'],0,0,1,[],[],https://twitter.com/MENS_EX/status/1413829112771252226,False,,1,https://pbs.twimg.com/media/E57uFXIWUAM2Foc.jpg,,,,,,,[],,,,
1413798916102017029,1413798916102017029,2021-07-10 09:55:03 UTC,2021-07-10,09:55:03,+0000,227366887,mens_ex,MEN'S EX編集部,,大胸筋を鍛えて「スーツが似合うカラダ」を手に入れるには？【服筋 Fukkin】 | MEN'S EX ONLINE |  https://t.co/JcUHRZqFnH  https://t.co/FwcoUuySe2,ja,[],['https://www.mens-ex.jp/archives/1201826'],['https://pbs.twimg.com/media/E57Snu5WEAIHZEg.jpg'],0,0,2,[],[],https://twitter.com/MENS_EX/status/1413798916102017029,False,,1,https://pbs.twimg.com/media/E57Snu5WEAIHZEg.jpg,,,,,,,[],,,,
1413768720854441987,1413768720854441987,2021-07-10 07:55:04 UTC,2021-07-10,07:55:04,+0000,227366887,mens_ex,MEN'S EX編集部,,グレースーツをノータイで着るときの正攻法は？ | MEN'S EX ONLINE |  https://t.co/nzwxQMMYGi  https://t.co/gJAAuyvp6m,ja,[],['https://www.mens-ex.jp/archives/1201621'],['https://pbs.twimg.com/media/E563KHxXsAEO9cH.jpg'],0,0,5,[],[],https://twitter.com/MENS_EX/status/1413768720854441987,False,,1,https://pbs.twimg.com/media/E563KHxXsAEO9cH.jpg,,,,,,,[],,,,
1413693216600244224,1413693216600244224,2021-07-10 02:55:02 UTC,2021-07-10,02:55:02,+0000,227366887,mens_ex,MEN'S EX編集部,,想像の斜め上！ ロールス・ロイスのSUV「カリナン」に用意された豪華オプションとは？ | MEN'S EX ONLINE |  https://t.co/PfUVBDbe09  https://t.co/8XjWHybvD7,ja,[],['https://www.mens-ex.jp/archives/1201497'],['https://pbs.twimg.com/media/E55yfN-WUAENi3y.jpg'],0,0,0,[],[],https://twitter.com/MENS_EX/status/1413693216600244224,False,,1,https://pbs.twimg.com/media/E55yfN-WUAENi3y.jpg,,,,,,,[],,,,
1413647919664836611,1413647919664836611,2021-07-09 23:55:03 UTC,2021-07-09,23:55:03,+0000,227366887,mens_ex,MEN'S EX編集部,,暑い日のビール、ハイボールに合わせたい簡単おつまみ！「茹で鳥レバーの塩ダレ」 | MEN'S EX ONLINE |  https://t.co/hnKmcYY2WY  https://t.co/HfVTVO4z2Q,ja,[],['https://www.mens-ex.jp/archives/1203493'],['https://pbs.twimg.com/media/E55JSjiXMAAI6-z.jpg'],0,0,4,[],[],https://twitter.com/MENS_EX/status/1413647919664836611,False,,1,https://pbs.twimg.com/media/E55JSjiXMAAI6-z.jpg,,,,,,,[],,,,
1413466729309564936,1413466729309564936,2021-07-09 11:55:03 UTC,2021-07-09,11:55:03,+0000,227366887,mens_ex,MEN'S EX編集部,,【初夏の胸元人気BEST10】ノータイの装いがランキングを独占！ | MEN'S EX ONLINE |  https://t.co/KNKsXeAzlN  https://t.co/e93iwFHkvD,ja,[],['https://www.mens-ex.jp/archives/1201685'],['https://pbs.twimg.com/media/E52kfxRVkAIYJ-U.jpg'],0,0,8,[],[],https://twitter.com/MENS_EX/status/1413466729309564936,False,,1,https://pbs.twimg.com/media/E52kfxRVkAIYJ-U.jpg,,,,,,,[],,,,
1413436526323650560,1413436526323650560,2021-07-09 09:55:02 UTC,2021-07-09,09:55:02,+0000,227366887,mens_ex,MEN'S EX編集部,,スーツに合わせる王道の一足「内羽根のストレートチップ」ってどんな靴？ | MEN'S EX ONLINE |  https://t.co/g1j53KFUXK  https://t.co/akVyvtWQhz,ja,[],['https://www.mens-ex.jp/archives/1199763'],['https://pbs.twimg.com/media/E52JB1JWQAE4L7c.jpg'],0,0,4,[],[],https://twitter.com/MENS_EX/status/1413436526323650560,False,,1,https://pbs.twimg.com/media/E52JB1JWQAE4L7c.jpg,,,,,,,[],,,,
1413406331319508993,1413406331319508993,2021-07-09 07:55:03 UTC,2021-07-09,07:55:03,+0000,227366887,mens_ex,MEN'S EX編集部,,白Ｔシャツ×カーディガンのオフの黄金コーデで寛ぐ | MEN'S EX ONLINE |  https://t.co/iNbXuwu09c  https://t.co/CJ9Mgl7sRj,ja,[],['https://www.mens-ex.jp/archives/1201670'],['https://pbs.twimg.com/media/E51tkTNWUAMR41o.jpg'],0,0,5,[],[],https://twitter.com/MENS_EX/status/1413406331319508993,False,,1,https://pbs.twimg.com/media/E51tkTNWUAMR41o.jpg,,,,,,,[],,,,
1413285535662104580,1413285535662104580,2021-07-08 23:55:03 UTC,2021-07-08,23:55:03,+0000,227366887,mens_ex,MEN'S EX編集部,,マシンメイドシャツの最高峰「きちんとジャージーシャツ」の実力は？【meSTORE】 | MEN'S EX ONLINE |  https://t.co/p9Z7WnYP2b  https://t.co/1zugo8YZpm,ja,[],['https://www.mens-ex.jp/archives/1202248'],['https://pbs.twimg.com/media/E5z_s8SWQAENZ_3.png'],0,0,9,[],[],https://twitter.com/MENS_EX/status/1413285535662104580,False,,1,https://pbs.twimg.com/media/E5z_s8SWQAENZ_3.png,,,,,,,[],,,,
1413255333468856320,1413255333468856320,2021-07-08 21:55:03 UTC,2021-07-08,21:55:03,+0000,227366887,mens_ex,MEN'S EX編集部,,コロナ禍に開催された「ながのノスタルジックカーフェスティバル」。その意義を考える | MEN'S EX ONLINE |  https://t.co/YMVyJWPEWZ  https://t.co/fUVRPyRK6L,ja,[],['https://www.mens-ex.jp/archives/1202734'],['https://pbs.twimg.com/media/E5zkPCNXoAMeSEt.jpg'],0,0,3,[],[],https://twitter.com/MENS_EX/status/1413255333468856320,False,,1,https://pbs.twimg.com/media/E5zkPCNXoAMeSEt.jpg,,,,,,,[],,,,
1413104335995682816,1413104335995682816,2021-07-08 11:55:02 UTC,2021-07-08,11:55:02,+0000,227366887,mens_ex,MEN'S EX編集部,,「雨の日はポンチョ」の選択肢、ドレス仕様なら通勤にもあり!? | MEN'S EX ONLINE |  https://t.co/wEIQTt1VPf  https://t.co/ejTiQz9SJk,ja,[],['https://www.mens-ex.jp/archives/1201127'],['https://pbs.twimg.com/media/E5xa5zoXIAUlhIB.jpg'],0,0,4,[],[],https://twitter.com/MENS_EX/status/1413104335995682816,False,,1,https://pbs.twimg.com/media/E5xa5zoXIAUlhIB.jpg,,,,,,,[],,,,
