id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1414075277244653572,1414075277244653572,2021-07-11 04:13:13 UTC,2021-07-11,04:13:13,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,浜に打ち上がったクラゲのようになっております,ja,[],[],[],0,0,0,[],[],https://twitter.com/citrocube/status/1414075277244653572,False,,0,,,,,,,,[],,,,
1414072559218298883,1414006958865096704,2021-07-11 04:02:24 UTC,2021-07-11,04:02:24,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,@mizuakiryu ありがとうございますー！！！,ja,[],[],[],0,0,0,[],[],https://twitter.com/citrocube/status/1414072559218298883,False,,0,,,,,,,,"[{'screen_name': 'mizuakiryu', 'name': 'あらいさとし@ポンコツ', 'id': '41477269'}]",,,,
1414072479325200385,1414072479325200385,2021-07-11 04:02:05 UTC,2021-07-11,04:02:05,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,今日の自転車（Zwift）、イベント参加してきました、いつもの4倍の距離ですがなんとか完走はできました、やったー！   https://t.co/mBpg0v2rHq #作家運動部  https://t.co/aMQNoTTQKh,ja,[],['https://prtimes.jp/main/html/rd/p/000004461.000014827.html'],['https://pbs.twimg.com/media/E5_LbRQVIAMBxST.jpg'],1,2,14,['作家運動部'],[],https://twitter.com/citrocube/status/1414072479325200385,False,,1,https://pbs.twimg.com/media/E5_LbRQVIAMBxST.jpg,,,,,,,[],,,,
1414071826204876800,1414006958865096704,2021-07-11 03:59:30 UTC,2021-07-11,03:59:30,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,@mizuakiryu うおおお無事に完走できました！！！ありがとうございます！！！,ja,[],[],[],1,0,1,[],[],https://twitter.com/citrocube/status/1414071826204876800,False,,0,,,,,,,,"[{'screen_name': 'mizuakiryu', 'name': 'あらいさとし@ポンコツ', 'id': '41477269'}]",,,,
1414014802502905859,1414006958865096704,2021-07-11 00:12:54 UTC,2021-07-11,00:12:54,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,@tajixi1 ろんぐらいだぁす！と時々コラボイベントやってるらしいです！作者さんと担当編集さんも別グループで走られるらしいですよー！,ja,[],[],[],0,0,1,[],[],https://twitter.com/citrocube/status/1414014802502905859,False,,0,,,,,,,,"[{'screen_name': 'tajixi1', 'name': 'tajixi', 'id': '1407763790452584452'}]",,,,
1414014557052276744,1414006958865096704,2021-07-11 00:11:56 UTC,2021-07-11,00:11:56,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,@mizuakiryu まず完走を目標でやってみます…！,ja,[],[],[],1,0,1,[],[],https://twitter.com/citrocube/status/1414014557052276744,False,,0,,,,,,,,"[{'screen_name': 'mizuakiryu', 'name': 'あらいさとし@ポンコツ', 'id': '41477269'}]",,,,
1414007118932287489,1414003436106911745,2021-07-10 23:42:22 UTC,2021-07-10,23:42:22,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,@inukiri それだ！,ja,[],[],[],0,0,0,[],[],https://twitter.com/citrocube/status/1414007118932287489,False,,0,,,,,,,,"[{'screen_name': 'inukiri', 'name': 'いぬきり@FK8', 'id': '117780877'}]",,,,
1414006958865096704,1414006958865096704,2021-07-10 23:41:44 UTC,2021-07-10,23:41:44,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,今日はZwiftで初めて50km超走る、距離も標高もいつもの4倍だ、完走できますようにー！ （『GRANFOND KOMORO feat. LongRiderStories! Enjoy Ride2021』Cグループ参加してみます   https://t.co/mBpg0v2rHq,ja,[],['https://prtimes.jp/main/html/rd/p/000004461.000014827.html'],[],3,3,14,[],[],https://twitter.com/citrocube/status/1414006958865096704,False,,0,,,,,,,,[],,,,
1414003436106911745,1414003436106911745,2021-07-10 23:27:44 UTC,2021-07-10,23:27:44,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,毎日絵を仕上げるの学ぶことが多かったのでしばらく続けてみたいな、とはいえ普段だと一日1時間くらいが限度かなあ,ja,[],[],[],1,0,18,[],[],https://twitter.com/citrocube/status/1414003436106911745,False,,0,,,,,,,,[],,,,
1413858680517238785,1413858680517238785,2021-07-10 13:52:32 UTC,2021-07-10,13:52:32,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,(担当さん本当にありがとうございます…！),ja,[],[],[],0,0,7,[],[],https://twitter.com/citrocube/status/1413858680517238785,False,,0,,,,,,,,[],,,,
1413855627802144773,1413847664790106114,2021-07-10 13:40:24 UTC,2021-07-10,13:40:24,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,今日の絵もこちらにまとめてきました！本記事の更新は本日で最終になります。こういう時って何かかけたらいいんですけど、うまくいかなかったので、記事の方に少し書いてきました。   https://t.co/ZLRL9yfp85,ja,[],['https://www.fanbox.cc/@citrocube/posts/2450875'],[],0,8,37,[],[],https://twitter.com/citrocube/status/1413855627802144773,False,,0,,,,,,,,[],,,,
1413847664790106114,1413847664790106114,2021-07-10 13:08:45 UTC,2021-07-10,13:08:45,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,『蜘蛛ですが、なにか？』第24話(最終話)の応援絵を描きました。本日(7/10)22:00以降順次配信とのことです。詳細は各配信サイトさんをご確認ください。よろしくお願いいたしますー！ #蜘蛛ですが   https://t.co/7vZWt1YVq9  https://t.co/i5JhXl0X1V,ja,[],['https://kumo-anime.com/'],['https://pbs.twimg.com/media/E579rmfUYAIiNGQ.jpg'],8,249,798,['蜘蛛ですが'],[],https://twitter.com/citrocube/status/1413847664790106114,False,,1,https://pbs.twimg.com/media/E579rmfUYAIiNGQ.jpg,,,,,,,[],,,,
1413776299349344257,1413677749332373505,2021-07-10 08:25:11 UTC,2021-07-10,08:25:11,+0000,4382511,citrocube,輝竜司 | Tsukasa Kiryu,,@tajixi1 結構きますよね…！自転車もすこしペダリングうまくなるとふともも鍛えられるらしいので、がんばります！,ja,[],[],[],0,0,0,[],[],https://twitter.com/citrocube/status/1413776299349344257,False,,0,,,,,,,,"[{'screen_name': 'tajixi1', 'name': 'tajixi', 'id': '1407763790452584452'}]",,,,
