id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413870282868084740,1413870282868084740,2021-07-10 14:38:38 UTC,2021-07-10,14:38:38,+0000,48863222,sbttttt,柴田聡子|Shibata Satoko,,今日は「WWW presents dots」柴田聡子inFIREでした。羊文学の皆さま、お越し頂いた皆さま、お世話になりました皆さま、楽しい時間をありがとうございました！端から端まで全部楽しく幸福でした。 ああBIGLOVE~~~ おやすみなさいLOVE~~~  https://t.co/gwyL659J7N,ja,[],[],['https://pbs.twimg.com/media/E58ThvQUcAs-KYN.jpg'],0,28,267,[],[],https://twitter.com/sbttttt/status/1413870282868084740,False,,1,https://pbs.twimg.com/media/E58ThvQUcAs-KYN.jpg,,,,,,,[],,,,
1413469605893271555,1413469605893271555,2021-07-09 12:06:29 UTC,2021-07-09,12:06:29,+0000,48863222,sbttttt,柴田聡子|Shibata Satoko,,明日はお待ちしています！☺️ お気をつけてお越しください！,ja,[],[],[],0,5,43,[],[],https://twitter.com/sbttttt/status/1413469605893271555,False,https://twitter.com/www_shibuya/status/1413408682096824322,0,,,,,,,,[],,,,
1412368377750818817,1412368377750818817,2021-07-06 11:10:36 UTC,2021-07-06,11:10:36,+0000,48863222,sbttttt,柴田聡子|Shibata Satoko,,イヤホンブランド「NUARL」主催の無料ライブ配信に出演します。ぜひご覧ください！どうぞ宜しくお願いします。  BACK TO STAGE supported by NUARL Online Live Vol 3  7月16日（金）19:00スタート  出演： 柴田聡子 小池貞利（teto） ホフディラン  NUARL YouTubeチャンネル  https://t.co/QIehwdPI0D  https://t.co/CasQQ8nVuv,ja,[],['http://youtu.be/xszHfmM5Ylk'],['https://pbs.twimg.com/media/E5m9jaTUcAU9Quc.jpg'],0,20,93,[],[],https://twitter.com/sbttttt/status/1412368377750818817,False,,1,https://pbs.twimg.com/media/E5m9jaTUcAU9Quc.jpg,,,,,,,[],,,,
1411548053685764106,1411548053685764106,2021-07-04 04:50:55 UTC,2021-07-04,04:50:55,+0000,48863222,sbttttt,柴田聡子|Shibata Satoko,,みなさま、どうもありがとうございました！良い午後を〜🍔,ja,[],[],[],0,3,26,[],[],https://twitter.com/sbttttt/status/1411548053685764106,False,https://twitter.com/sbttttt/status/1411457448087408640,0,,,,,,,,[],,,,
1411457448087408640,1411457448087408640,2021-07-03 22:50:53 UTC,2021-07-03,22:50:53,+0000,48863222,sbttttt,柴田聡子|Shibata Satoko,,"おはようございます☂️🐕 今日はこれから TETRA RECORDS presents.“VINYL HOUSE"" #2 出演します！よろしくお願いします。 10:00スタートです。 チケット1500円 LIVE：大野悠紀 / 柴田聡子 / 原田晃行 ※アーカイブは7/7 23:59まで チケットはただいまZAIKOにて販売中🎫  https://t.co/nMIK9jbfU4  https://t.co/RdNMKn6SCy",ja,[],['https://tetrarecords.zaiko.io/_item/340912'],['https://pbs.twimg.com/media/E5aBESLVUAUoW58.jpg'],0,10,30,[],[],https://twitter.com/sbttttt/status/1411457448087408640,False,,1,https://pbs.twimg.com/media/E5aBESLVUAUoW58.jpg,,,,,,,[],,,,
1411005341651791874,1411005341651791874,2021-07-02 16:54:23 UTC,2021-07-02,16:54:23,+0000,48863222,sbttttt,柴田聡子|Shibata Satoko,,今日はオンラインイベント「ことばと音楽のあれこれ」いろんな話をして、細馬さん、澁谷さんのライヴを久しぶりに聴けて、うれしい一日でした。もっと話したかった。皆さま、ありがとうございました！ アーカイブ視聴も10日間あります。 ことばとVol.3とともにぜひどうぞ📖  https://t.co/kMVrl9q07J  https://t.co/DljiSWQeT6,ja,[],['http://www.kankanbou.com/news/archives/235'],['https://pbs.twimg.com/media/E5Tl4RdVUAwbF1n.jpg'],0,16,46,[],[],https://twitter.com/sbttttt/status/1411005341651791874,False,,1,https://pbs.twimg.com/media/E5Tl4RdVUAwbF1n.jpg,,,,,,,[],,,,
1409871853275996171,1409871853275996171,2021-06-29 13:50:18 UTC,2021-06-29,13:50:18,+0000,48863222,sbttttt,柴田聡子|Shibata Satoko,,"TETRA RECORDS presents.“VINYL HOUSE"" #2 出演します！よろしくお願いします。 7月4日(日) 10:00~ START チケット1500円 LIVE：大野悠紀 / 柴田聡子 / 原田晃行 ※アーカイブは7/7 23:59まで チケットはZAIKOにて販売中 公演終了後の7月7日20:00まで購入可能です🎫  https://t.co/nMIK9jsRiE  https://t.co/l7nOQReHLZ",ja,[],['https://tetrarecords.zaiko.io/_item/340912'],['https://pbs.twimg.com/media/E5De-h0WQBIVlko.jpg'],0,12,35,[],[],https://twitter.com/sbttttt/status/1409871853275996171,False,,1,https://pbs.twimg.com/media/E5De-h0WQBIVlko.jpg,,,,,,,[],,,,
1408025056345673729,1408025056345673729,2021-06-24 11:31:47 UTC,2021-06-24,11:31:47,+0000,48863222,sbttttt,柴田聡子|Shibata Satoko,,同級生であり、「結婚しました」のMVも監督して頂いた、映像作品や振付など多方面で大活躍の吉開菜央さんと、お互いのspotifyを眺めながらあれこれ話すという、ただただ楽しい記事を作って頂きました。吉開ちゃん、みなさま、ありがとうございました！ぜひどうぞ💃🕺,ja,[],[],[],0,24,164,[],[],https://twitter.com/sbttttt/status/1408025056345673729,False,https://twitter.com/CINRANET/status/1407987119365103618,0,,,,,,,,[],,,,
1405866075405705219,1405866075405705219,2021-06-18 12:32:46 UTC,2021-06-18,12:32:46,+0000,48863222,sbttttt,柴田聡子|Shibata Satoko,,"奇妙礼太郎さんとの2マンが決まりました🐋 配信もあります、ぜひどうぞよろしくお願いいたします！  7月31日 (土) 表参道WALL&amp;WALL ""奇妙礼太郎 × 柴田聡子"" 17:00 OP/ 18:00 ST ADV ¥4,000+1D STREAMING ¥2,000 チケットはZAIKOにて発売開始しています🎫 詳しくは↓  https://t.co/3pO0C1oXWV",ja,[],['https://wallwall.zaiko.io/_item/340540'],[],0,27,192,[],[],https://twitter.com/sbttttt/status/1405866075405705219,False,,0,,,,,,,,[],,,,
1405863918283620353,1405863918283620353,2021-06-18 12:24:12 UTC,2021-06-18,12:24:12,+0000,48863222,sbttttt,柴田聡子|Shibata Satoko,,文学ムック「ことばと」vol.3刊行記念 オンラインイベント「ことばと音楽のあれこれ」に参加します。 どうぞよろしくお願い致します！  2021年7月2日（金）20:00～21:30 出演：細馬宏通さん、澁谷浩次さん、柴田聡子さん（進行：佐々木敦さん） 配信方法：YouTube 詳しくは↓  https://t.co/kMVrl9q07J  https://t.co/avM7cdiGFF,ja,[],['http://www.kankanbou.com/news/archives/235'],['https://pbs.twimg.com/media/E4KhyDxVoAoWCih.jpg'],0,23,64,[],[],https://twitter.com/sbttttt/status/1405863918283620353,False,,1,https://pbs.twimg.com/media/E4KhyDxVoAoWCih.jpg,,,,,,,[],,,,
