id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413768459289169923,1413768459289169923,2021-07-10 07:54:01 UTC,2021-07-10,07:54:01,+0000,86104669,gekisaka,ゲキサカ,,鹿児島vs富山 スタメン発表 | ゲキサカ  https://t.co/qGdCxo7Ohl #gekisaka #jleague,ja,[],['https://web.gekisaka.jp/news/detail/?336294-336294-fl'],[],0,0,0,"['gekisaka', 'jleague']",[],https://twitter.com/gekisaka/status/1413768459289169923,False,,0,,,,,,,,[],,,,
1413767958250233860,1413767958250233860,2021-07-10 07:52:02 UTC,2021-07-10,07:52:02,+0000,86104669,gekisaka,ゲキサカ,,仙台vs札幌 スタメン発表 | ゲキサカ  https://t.co/FJWm6QYiIg #gekisaka #jleague,ja,[],['https://web.gekisaka.jp/news/detail/?336293-336293-fl'],[],0,1,3,"['gekisaka', 'jleague']",[],https://twitter.com/gekisaka/status/1413767958250233860,False,,0,,,,,,,,[],,,,
1413764941417308162,1413764941417308162,2021-07-10 07:40:03 UTC,2021-07-10,07:40:03,+0000,86104669,gekisaka,ゲキサカ,,大分vs浦和 スタメン発表 | ゲキサカ  https://t.co/sSzVs10Gg7 #gekisaka #jleague,ja,[],['https://web.gekisaka.jp/news/detail/?336291-336291-fl'],[],0,1,13,"['gekisaka', 'jleague']",[],https://twitter.com/gekisaka/status/1413764941417308162,False,,0,,,,,,,,[],,,,
1413762667211157508,1413762667211157508,2021-07-10 07:31:00 UTC,2021-07-10,07:31:00,+0000,86104669,gekisaka,ゲキサカ,,FFF会長がデンベレ&amp;グリーズマンの動画に言及「不器用だが優しいんだ。本当のイメージと違い過ぎる。胸が痛い」 | ゲキサカ  https://t.co/QhiabRl7gG #gekisaka,ja,[],['https://web.gekisaka.jp/news/detail/?336290-336290-fl'],[],0,2,11,['gekisaka'],[],https://twitter.com/gekisaka/status/1413762667211157508,False,,0,,,,,,,,[],,,,
1413753864663175174,1413753864663175174,2021-07-10 06:56:02 UTC,2021-07-10,06:56:02,+0000,86104669,gekisaka,ゲキサカ,,横浜FMvs福岡 スタメン発表 | ゲキサカ  https://t.co/yAa71KMShQ #gekisaka #jleague,ja,[],['https://web.gekisaka.jp/news/detail/?336287-336287-fl'],[],0,2,10,"['gekisaka', 'jleague']",[],https://twitter.com/gekisaka/status/1413753864663175174,False,,0,,,,,,,,[],,,,
1413751598090620928,1413751598090620928,2021-07-10 06:47:01 UTC,2021-07-10,06:47:01,+0000,86104669,gekisaka,ゲキサカ,,前田大然が全体練習に合流、上田綺世も部分合流…U-24日本代表、精力的な静岡合宿終える | ゲキサカ  https://t.co/y2CDEfILWS #gekisaka #daihyo,ja,[],['https://web.gekisaka.jp/news/detail/?336285-336285-fl'],[],0,18,91,"['gekisaka', 'daihyo']",[],https://twitter.com/gekisaka/status/1413751598090620928,False,,0,,,,,,,,[],,,,
1413746566595182593,1413746566595182593,2021-07-10 06:27:02 UTC,2021-07-10,06:27:02,+0000,86104669,gekisaka,ゲキサカ,,[プリンスリーグ北信越]丸岡と新潟明訓が完封勝利!帝京長岡も3発快勝!:第11節 | ゲキサカ  https://t.co/jTvtBmHovF #gekisaka,ja,[],['https://web.gekisaka.jp/news/detail/?336280-336280-fl'],[],0,2,9,['gekisaka'],[],https://twitter.com/gekisaka/status/1413746566595182593,False,,0,,,,,,,,[],,,,
1413743294547324930,1413743294547324930,2021-07-10 06:14:02 UTC,2021-07-10,06:14:02,+0000,86104669,gekisaka,ゲキサカ,,新潟FW鈴木孝司に第一子誕生「私、鈴木孝司は父になりました」 | ゲキサカ  https://t.co/h1SLsDsCqz #gekisaka #jleague,ja,[],['https://web.gekisaka.jp/news/detail/?336284-336284-fl'],[],0,13,68,"['gekisaka', 'jleague']",[],https://twitter.com/gekisaka/status/1413743294547324930,False,,0,,,,,,,,[],,,,
1413742292414787589,1413742292414787589,2021-07-10 06:10:03 UTC,2021-07-10,06:10:03,+0000,86104669,gekisaka,ゲキサカ,,藤枝vs鳥取 スタメン発表 | ゲキサカ  https://t.co/c4sIjl3fH4 #gekisaka #jleague,ja,[],['https://web.gekisaka.jp/news/detail/?336283-336283-fl'],[],0,1,6,"['gekisaka', 'jleague']",[],https://twitter.com/gekisaka/status/1413742292414787589,False,,0,,,,,,,,[],,,,
1413740777021186052,1413740777021186052,2021-07-10 06:04:01 UTC,2021-07-10,06:04:01,+0000,86104669,gekisaka,ゲキサカ,,EURO初優勝に迫るイングランド、エースFWケイン「我々のキャリアで最大の試合になる」 | ゲキサカ  https://t.co/nkmLip0IWx #gekisaka,ja,[],['https://web.gekisaka.jp/news/detail/?336282-336282-fl'],[],0,2,24,['gekisaka'],[],https://twitter.com/gekisaka/status/1413740777021186052,False,,0,,,,,,,,[],,,,
1413722658621911044,1413722658621911044,2021-07-10 04:52:02 UTC,2021-07-10,04:52:02,+0000,86104669,gekisaka,ゲキサカ,,U23アジアカップ予選の組み合わせ抽選が発表…日本は朝鮮民主主義人民共和国、カンボジアと同組 | ゲキサカ  https://t.co/48fjUuMNT1 #gekisaka #daihyo,ja,[],['https://web.gekisaka.jp/news/detail/?336279-336279-fl'],[],0,10,21,"['gekisaka', 'daihyo']",[],https://twitter.com/gekisaka/status/1413722658621911044,False,,0,,,,,,,,[],,,,
1413717623917875205,1413717623917875205,2021-07-10 04:32:01 UTC,2021-07-10,04:32:01,+0000,86104669,gekisaka,ゲキサカ,,YS横浜でプレーしたFWジャブラニ・リンジェ・アリの新天地が決定 | ゲキサカ  https://t.co/3ZSP9UmtWA #gekisaka #jleague,ja,[],['https://web.gekisaka.jp/news/detail/?336278-336278-fl'],[],0,0,7,"['gekisaka', 'jleague']",[],https://twitter.com/gekisaka/status/1413717623917875205,False,,0,,,,,,,,[],,,,
1413716365605675008,1413716365605675008,2021-07-10 04:27:01 UTC,2021-07-10,04:27:01,+0000,86104669,gekisaka,ゲキサカ,,深刻な財政難で陣容定まらず…バルセロナ監督クーマン「最後までこの状況が続くだろう」 | ゲキサカ  https://t.co/X4mjTDq6JR #gekisaka,ja,[],['https://web.gekisaka.jp/news/detail/?336276-336276-fl'],[],0,4,11,['gekisaka'],[],https://twitter.com/gekisaka/status/1413716365605675008,False,,0,,,,,,,,[],,,,
