id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413760244723818497,1413742448036126722,2021-07-10 07:21:23 UTC,2021-07-10,07:21:23,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,作っている様子などフル動画はYouTubeで見られます〜  https://t.co/EtVEtMyjBf,ja,[],['https://www.youtube.com/watch?v=vNkoEhmj8zg'],[],2,17,87,[],[],https://twitter.com/togenkyoo/status/1413760244723818497,False,,0,,,,,,,,[],,,,
1413750536025694211,1413750536025694211,2021-07-10 06:42:48 UTC,2021-07-10,06:42:48,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,再来週のワークショップ、残席少なくなってきはじめました。ありがとうございます。 とはいってもまだ席はあるので、みなさまのご参加お待ちしております！  （みんなと安心して無駄づくりができるように都の要請に従いながら感染症対策をしっかりおこないます）  https://t.co/cdT3Jj1Eqx,ja,[],['https://fujiwaram.com/archives/949'],[],0,3,42,[],[],https://twitter.com/togenkyoo/status/1413750536025694211,False,,0,,,,,,,,[],,,,
1413742448036126722,1413742448036126722,2021-07-10 06:10:40 UTC,2021-07-10,06:10:40,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,チャックあいてたら教えてくれるマシーンを作った  https://t.co/PxBk7mCfXN,ja,[],[],[],48,1613,8837,[],[],https://twitter.com/togenkyoo/status/1413742448036126722,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1413742354855456776/pu/img/9Dj9Vx5Qib51HyfT.jpg,,,,,,,[],,,,
1413077255962591241,1413077255962591241,2021-07-08 10:07:26 UTC,2021-07-08,10:07:26,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,Arduinoをつかってサーボモーターを動かす方法をお花ミドルフィンガーマシーンを作りながら学ぼう〜！  電子工作を学んで「会社に置く観葉植物🖕🌼」を作ろう（世界一わかりやすいArduino入門）  https://t.co/H2fM1M2qQe,ja,[],['https://youtu.be/tfU-u0w6TNU'],[],0,12,78,[],[],https://twitter.com/togenkyoo/status/1413077255962591241,False,,0,,,,,,,,[],,,,
1412328898281365508,1412328898281365508,2021-07-06 08:33:43 UTC,2021-07-06,08:33:43,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,便利と無駄のちょうど間みたいなものを作るとすごくテンションあがります,ja,[],[],[],2,6,267,[],[],https://twitter.com/togenkyoo/status/1412328898281365508,False,,0,,,,,,,,[],,,,
1412328663031238657,1412328663031238657,2021-07-06 08:32:47 UTC,2021-07-06,08:32:47,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,ヤバいものを作ってしまって、アトリエで「ヤバい……」って小躍りしていた,ja,[],[],[],4,6,333,[],[],https://twitter.com/togenkyoo/status/1412328663031238657,False,,0,,,,,,,,[],,,,
1412223539168432129,1412223423149842437,2021-07-06 01:35:04 UTC,2021-07-06,01:35:04,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,@MaywaDenki 社長、素敵な推薦文ありがとうございます😭,ja,[],[],[],0,3,50,[],[],https://twitter.com/togenkyoo/status/1412223539168432129,False,,0,,,,,,,,"[{'screen_name': 'MaywaDenki', 'name': '明和電機', 'id': '53047052'}]",,,,
1412223423149842437,1412223423149842437,2021-07-06 01:34:36 UTC,2021-07-06,01:34:36,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,「無駄なマシーンを発明しよう」に明和電機社長 から推薦文をいただきました！  「ホモサピエンスが文明を発達させることができた理由，それが「無駄づくり」。本書を読めばそれがよくわかります。　※この本を読んでも，役に立つものはまったく作れません。ご注意ください」  https://t.co/HVj6b9upFh  https://t.co/fJDs8zfW6d,ja,[],['https://amzn.to/3dIjfdZ'],['https://pbs.twimg.com/media/E5k5K7MVUAcQM3Y.jpg'],2,133,746,[],[],https://twitter.com/togenkyoo/status/1412223423149842437,False,,1,https://pbs.twimg.com/media/E5k5K7MVUAcQM3Y.jpg,,,,,,,[],,,,
1411972241949040641,1411972241949040641,2021-07-05 08:56:30 UTC,2021-07-05,08:56:30,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,良い顔に描いてもろたよ,ja,[],[],[],2,4,113,[],[],https://twitter.com/togenkyoo/status/1411972241949040641,False,https://twitter.com/masudakaoru_/status/1411914889518481415,0,,,,,,,,[],,,,
1411581033003188225,1411581033003188225,2021-07-04 07:01:58 UTC,2021-07-04,07:01:58,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,なんで無駄なもの作ってるの？   https://t.co/IhfkXrJnnu,ja,[],['https://youtu.be/ykgV8-f47v4'],[],2,9,101,[],[],https://twitter.com/togenkyoo/status/1411581033003188225,False,,0,,,,,,,,[],,,,
1411283977562845184,1411283977562845184,2021-07-03 11:21:35 UTC,2021-07-03,11:21:35,+0000,230594448,togenkyoo,藤原 麻里菜 | Marina Fujiwara,,🌼「夏の超・無駄自由研究ワークショップ」のお知らせ🌼 今年の夏は無駄づくりをして技術を学んでみませんか？3Dモデリングや本格的な電子工作の教室です！   https://t.co/cdT3Jj1Eqx,ja,[],['https://fujiwaram.com/archives/949'],[],0,19,160,[],[],https://twitter.com/togenkyoo/status/1411283977562845184,False,,0,,,,,,,,[],,,,
