id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1408749381608611847,1408749381608611847,2021-06-26 11:30:00 UTC,2021-06-26,11:30:00,+0000,188738873,tigerandbunny,TIGER & BUNNY,,【#タイバニ配信】 『TIGER &amp; BUNNY』YouTubeプレミア配信 第12話「Take heed of the snake in the grass.」のご視聴ありがとうございました！ アーカイブは7/3(土)19:59まで公開されます。是非ご覧ください♪  https://t.co/50HaZpWgcI  来週は第13話！ 7/3(土) 20時より配信です！ #tigerbunny  https://t.co/xvDWccykDj,ja,[],['https://youtu.be/caRH_6lbSf0'],['https://pbs.twimg.com/media/E4u1ksSVUAINHfu.jpg'],2,411,844,"['タイバニ配信', 'tigerbunny']",[],https://twitter.com/TIGERandBUNNY/status/1408749381608611847,False,,1,https://pbs.twimg.com/media/E4u1ksSVUAINHfu.jpg,,,,,,,[],,,,
1408741832930910208,1408741832930910208,2021-06-26 11:00:00 UTC,2021-06-26,11:00:00,+0000,188738873,tigerandbunny,TIGER & BUNNY,,【配信スタート！】 BNP公式YouTubeチャンネルで『TIGER &amp; BUNNY』第12話がプレミア公開で配信中です！  配信URLはこちら！  https://t.co/50HaZpWgcI  #タイバニ配信 #tigerbunny  https://t.co/PrB2gORvtA,ja,[],['https://youtu.be/caRH_6lbSf0'],['https://pbs.twimg.com/media/E4u0sJnUYAYG3OK.jpg'],2,258,484,"['タイバニ配信', 'tigerbunny']",[],https://twitter.com/TIGERandBUNNY/status/1408741832930910208,False,,1,https://pbs.twimg.com/media/E4u0sJnUYAYG3OK.jpg,,,,,,,[],,,,
1408734281241931779,1408734281241931779,2021-06-26 10:30:00 UTC,2021-06-26,10:30:00,+0000,188738873,tigerandbunny,TIGER & BUNNY,,【配信開始まであと30分！】 このあと20時より、『TIGER &amp; BUNNY』第12話のYouTubeプレミア配信がスタート！ 配信URLはこちら！  https://t.co/50HaZqdRBi  感想は是非、 #タイバニ配信 をつけてツイートしてくださいね！ 今週の一言インタビューは #森田成一 さん！最後までお見逃しなく♪,ja,[],['https://youtu.be/caRH_6lbSf0'],[],1,255,357,"['タイバニ配信', '森田成一']",[],https://twitter.com/TIGERandBUNNY/status/1408734281241931779,False,,0,,,,,,,,[],,,,
1408621035440705538,1408621035440705538,2021-06-26 03:00:00 UTC,2021-06-26,03:00:00,+0000,188738873,tigerandbunny,TIGER & BUNNY,,【#タイバニ配信】 本日20時より、BNP公式YouTubeチャンネルで『TIGER &amp; BUNNY』第12話「Take heed of the snake in the grass.」のプレミア配信を行います！  配信URLはこちら♪  https://t.co/50HaZqdRBi  第11話の公開は本日19:59までです！ これからご視聴される方はお急ぎ下さい！  #tigerbunny,ja,[],['https://youtu.be/caRH_6lbSf0'],[],1,298,464,"['タイバニ配信', 'tigerbunny']",[],https://twitter.com/TIGERandBUNNY/status/1408621035440705538,False,,0,,,,,,,,[],,,,
1406213923750154243,1406213923750154243,2021-06-19 11:35:00 UTC,2021-06-19,11:35:00,+0000,188738873,tigerandbunny,TIGER & BUNNY,,『TIGER &amp; BUNNY』10周年ロゴを使用したグッズが A-on STOREにて好評予約受付中！  10周年ならではのエクセレントなデザインに注目です！数に限りがございますので、お買い逃しなく！！ #tigerbunny  ▼特集ページ  https://t.co/AQa7dhvz6L  https://t.co/BrQkB9Z9NI,ja,[],['https://a-onstore.jp/shop/tigerandbunny10th/'],['https://pbs.twimg.com/media/E4PcHWUVUAAilxB.jpg'],0,306,583,['tigerbunny'],[],https://twitter.com/TIGERandBUNNY/status/1406213923750154243,False,,1,https://pbs.twimg.com/media/E4PcHWUVUAAilxB.jpg,,,,,,,[],,,,
1406212666545229825,1406212666545229825,2021-06-19 11:30:00 UTC,2021-06-19,11:30:00,+0000,188738873,tigerandbunny,TIGER & BUNNY,,【#タイバニ配信】 『TIGER &amp; BUNNY』YouTubeプレミア配信 第11話「The die is cast.」のご視聴ありがとうございました！ アーカイブは6/26(土)19:59まで公開されます。見逃した方も是非ご覧ください♪  https://t.co/uUgSCJ7qmB  来週は第12話！ 6/26(土) 20時より配信です！ #tigerbunny  https://t.co/eBE6xyYrLk,ja,[],['https://youtu.be/UsaAgWzhb-w'],['https://pbs.twimg.com/media/E4Kuxq5UUAknubW.jpg'],0,417,726,"['タイバニ配信', 'tigerbunny']",[],https://twitter.com/TIGERandBUNNY/status/1406212666545229825,False,,1,https://pbs.twimg.com/media/E4Kuxq5UUAknubW.jpg,,,,,,,[],,,,
1406205116148076544,1406205116148076544,2021-06-19 11:00:00 UTC,2021-06-19,11:00:00,+0000,188738873,tigerandbunny,TIGER & BUNNY,,【配信スタート！】 BNP公式YouTubeチャンネルで『TIGER &amp; BUNNY』第11話がプレミア公開で配信中です！  配信URLはこちら！  https://t.co/uUgSCJp1Lb  #タイバニ配信 #tigerbunny  https://t.co/fhWFQim4Xo,ja,[],['https://youtu.be/UsaAgWzhb-w'],['https://pbs.twimg.com/media/E4KtDquUcBA6-bd.jpg'],0,346,549,"['タイバニ配信', 'tigerbunny']",[],https://twitter.com/TIGERandBUNNY/status/1406205116148076544,False,,1,https://pbs.twimg.com/media/E4KtDquUcBA6-bd.jpg,,,,,,,[],,,,
1406197565687803904,1406197565687803904,2021-06-19 10:30:00 UTC,2021-06-19,10:30:00,+0000,188738873,tigerandbunny,TIGER & BUNNY,,【配信開始まであと30分！】 このあと20時より、『TIGER &amp; BUNNY』第11話のYouTubeプレミア配信がスタート！ 配信URLはこちら！  https://t.co/uUgSCJp1Lb  感想は是非、 #タイバニ配信 をつけてツイートしてくださいね！ 今週の一言インタビューは #平田広明 さん！最後までお見逃しなく♪,ja,[],['https://youtu.be/UsaAgWzhb-w'],[],0,275,418,"['タイバニ配信', '平田広明']",[],https://twitter.com/TIGERandBUNNY/status/1406197565687803904,False,,0,,,,,,,,[],,,,
1406084323216867328,1406084323216867328,2021-06-19 03:00:01 UTC,2021-06-19,03:00:01,+0000,188738873,tigerandbunny,TIGER & BUNNY,,【#タイバニ配信】 本日20時より、BNP公式YouTubeチャンネルで『TIGER &amp; BUNNY』第11話「The die is cast.」のプレミア配信を行います！  配信URLはこちら♪  https://t.co/uUgSCJp1Lb  第10話の公開は本日19:59までです！ これからご視聴される方はお急ぎ下さい！  #tigerbunny,ja,[],['https://youtu.be/UsaAgWzhb-w'],[],0,338,505,"['タイバニ配信', 'tigerbunny']",[],https://twitter.com/TIGERandBUNNY/status/1406084323216867328,False,,0,,,,,,,,[],,,,
1403675951150534662,1403675951150534662,2021-06-12 11:30:00 UTC,2021-06-12,11:30:00,+0000,188738873,tigerandbunny,TIGER & BUNNY,,【#タイバニ配信】 『TIGER &amp; BUNNY』YouTubeプレミア配信 第10話「The calm before the storm.」のご視聴ありがとうございました！ アーカイブは6/19(土)19:59まで公開されます。見逃した方も是非ご覧ください♪  https://t.co/78Zs18HI82  来週は第11話！ 6/19(土) 20時より配信です！ #tigerbunny  https://t.co/FQXj9pMcif,ja,[],['https://youtu.be/DMZOtVhtjT0'],['https://pbs.twimg.com/media/E3mgLGZVUAIQ_ue.jpg'],0,481,1014,"['タイバニ配信', 'tigerbunny']",[],https://twitter.com/TIGERandBUNNY/status/1403675951150534662,False,,1,https://pbs.twimg.com/media/E3mgLGZVUAIQ_ue.jpg,,,,,,,[],,,,
