id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
945593982968414209,945593982968414209,2017-12-26 09:55:48 UTC,2017-12-26,09:55:48,+0000,1192485799,madan_anime,『魔弾の王と戦姫』公式ツイッター,,『魔弾の王と戦姫&lt;ヴァナディース&gt;』最終18巻＆片桐雛太画集は絶賛発売中！ 魔弾の王へと至るティグルの物語をこの機会にまとめ読みするのもおススメです！ そして本編を読み終えた後は画集に収録の後日譚も見逃せません！！ ⇒ https://t.co/ccKtRy9tp9  https://t.co/9cZXqgh4KJ,ja,[],['http://bc.mediafactory.jp/bunkoj/madan/'],"['https://pbs.twimg.com/media/DR9sqWCUMAEQO3Q.jpg', 'https://pbs.twimg.com/media/DR9stSUVAAAtQRA.jpg']",6,29,73,[],[],https://twitter.com/madan_anime/status/945593982968414209,False,,1,https://pbs.twimg.com/media/DR9sqWCUMAEQO3Q.jpg,,,,,,,[],,,,
944144522191126530,944144522191126530,2017-12-22 09:56:10 UTC,2017-12-22,09:56:10,+0000,1192485799,madan_anime,『魔弾の王と戦姫』公式ツイッター,,『魔弾の王と戦姫&lt;ヴァナディース&gt;』　完結18巻＆片桐雛太画集が好評発売中！ 18巻で大団円をお楽しみいただいた後には画集に収録の後日譚もおススメです！ ぜひ両方あわせてお読みください！！ ⇒ https://t.co/ccKtRy9tp9  https://t.co/NpOkpyg6Oa,ja,[],['http://bc.mediafactory.jp/bunkoj/madan/'],"['https://pbs.twimg.com/media/DRpGZ04VoAAaY9P.jpg', 'https://pbs.twimg.com/media/DRpGauUUQAELKme.jpg']",0,18,42,[],[],https://twitter.com/madan_anime/status/944144522191126530,False,,1,https://pbs.twimg.com/media/DRpGZ04VoAAaY9P.jpg,,,,,,,[],,,,
943064160413261824,943064160413261824,2017-12-19 10:23:11 UTC,2017-12-19,10:23:11,+0000,1192485799,madan_anime,『魔弾の王と戦姫』公式ツイッター,,『魔弾の王と戦姫&lt;ヴァナディース&gt;』最終18巻＆片桐雛太画集が絶賛発売中です！ 長きにわたる戦いがついに決着！　この結末は見逃せません！！ 画集には本編の後日譚も収録されています！　ぜひ両方あわせてお楽しみください！！ ⇒ https://t.co/ccKtRy9tp9  https://t.co/atleKTzPWR,ja,[],['http://bc.mediafactory.jp/bunkoj/madan/'],"['https://pbs.twimg.com/media/DRZv02dVQAEM5xJ.jpg', 'https://pbs.twimg.com/media/DRZv1pmVQAAqCh3.jpg']",0,31,53,[],[],https://twitter.com/madan_anime/status/943064160413261824,False,,1,https://pbs.twimg.com/media/DRZv02dVQAEM5xJ.jpg,,,,,,,[],,,,
942328473653198849,942328473653198849,2017-12-17 09:39:50 UTC,2017-12-17,09:39:50,+0000,1192485799,madan_anime,『魔弾の王と戦姫』公式ツイッター,,『魔弾の王と戦姫&lt;ヴァナディース&gt;』本編完結の18巻が絶賛発売中！ 最高の大団円に好評の声を多数いただいております！！ 未読の方もぜひこの機会にまとめて読んでみてはいかがでしょうか？ コチラ⇒ https://t.co/ccKtRy9tp9  https://t.co/mR48NBHzS2,ja,[],['http://bc.mediafactory.jp/bunkoj/madan/'],"['https://pbs.twimg.com/media/DRPStj_VQAEKk1L.jpg', 'https://pbs.twimg.com/media/DRPSvkLUQAAm0yN.jpg']",0,24,61,[],[],https://twitter.com/madan_anime/status/942328473653198849,False,,1,https://pbs.twimg.com/media/DRPStj_VQAEKk1L.jpg,,,,,,,[],,,,
941971874329772032,941971874329772032,2017-12-16 10:02:50 UTC,2017-12-16,10:02:50,+0000,1192485799,madan_anime,『魔弾の王と戦姫』公式ツイッター,,『魔弾の王と戦姫&lt;ヴァナディース&gt;　片桐雛太画集』が好評発売中！ 片桐先生描き下ろしなどココだけのお宝イラスト満載！ さらに本編の後日譚も川口先生書き下ろしで収録！　是非18巻とともにお求めください！ ⇒ https://t.co/ccKtRy9tp9  https://t.co/btvTSKELBT,ja,[],['http://bc.mediafactory.jp/bunkoj/madan/'],"['https://pbs.twimg.com/media/DRKOXLCUQAE1esd.jpg', 'https://pbs.twimg.com/media/DRKOYGgV4AI8ZmL.jpg']",1,14,56,[],[],https://twitter.com/madan_anime/status/941971874329772032,False,,1,https://pbs.twimg.com/media/DRKOXLCUQAE1esd.jpg,,,,,,,[],,,,
941601830252843008,941601830252843008,2017-12-15 09:32:25 UTC,2017-12-15,09:32:25,+0000,1192485799,madan_anime,『魔弾の王と戦姫』公式ツイッター,,MF文庫Jより『魔弾の王と戦姫&lt;ヴァナディース&gt;』18巻が絶賛発売中です！ 長きにわたる戦いがついに決着！　この結末は見逃せません！！ シリーズ未読の方も是非この機会に一気読みなどいかがでしょうか？ ⇒ https://t.co/ccKtRy9tp9  https://t.co/EPi29POY4b,ja,[],['http://bc.mediafactory.jp/bunkoj/madan/'],"['https://pbs.twimg.com/media/DRE90jOUQAA8dDR.jpg', 'https://pbs.twimg.com/media/DRE93BVV4AAf7PX.jpg']",0,14,39,[],[],https://twitter.com/madan_anime/status/941601830252843008,False,,1,https://pbs.twimg.com/media/DRE90jOUQAA8dDR.jpg,,,,,,,[],,,,
941241048780566528,941241048780566528,2017-12-14 09:38:48 UTC,2017-12-14,09:38:48,+0000,1192485799,madan_anime,『魔弾の王と戦姫』公式ツイッター,,『魔弾の王と戦姫&lt;ヴァナディース&gt;　片桐雛太画集』が最終18巻とともに好評発売中です！！ 本編を読み終えた方はこちらに収録の後日譚も見逃せません！ 片桐先生の美麗なイラストとともにご堪能ください！！ ⇒ https://t.co/ccKtRy9tp9  https://t.co/j2RMw7hmE0,ja,[],['http://bc.mediafactory.jp/bunkoj/madan/'],"['https://pbs.twimg.com/media/DQ_1tRAVQAAumRM.jpg', 'https://pbs.twimg.com/media/DQ_1uUCU8AII9Z9.jpg']",0,25,47,[],[],https://twitter.com/madan_anime/status/941241048780566528,False,,1,https://pbs.twimg.com/media/DQ_1tRAVQAAumRM.jpg,,,,,,,[],,,,
940895907884625921,940895907884625921,2017-12-13 10:47:20 UTC,2017-12-13,10:47:20,+0000,1192485799,madan_anime,『魔弾の王と戦姫』公式ツイッター,,MF文庫Jより『魔弾の王と戦姫&lt;ヴァナディース&gt;』最終18巻が絶賛発売中です！ 注目の大団円に多くの好評の声をいただいております！！ シリーズ未読の方もぜひこの機会にまとめ読みしてみてはいかがでしょうか？ ⇒ https://t.co/ccKtRy9tp9  https://t.co/Z0utNdgiwe,ja,[],['http://bc.mediafactory.jp/bunkoj/madan/'],"['https://pbs.twimg.com/media/DQ67yVXU8AAh-eF.jpg', 'https://pbs.twimg.com/media/DQ670etV4AA3tT6.jpg']",0,30,47,[],[],https://twitter.com/madan_anime/status/940895907884625921,False,,1,https://pbs.twimg.com/media/DQ67yVXU8AAh-eF.jpg,,,,,,,[],,,,
940519849779855360,940519849779855360,2017-12-12 09:53:00 UTC,2017-12-12,09:53:00,+0000,1192485799,madan_anime,『魔弾の王と戦姫』公式ツイッター,,『魔弾の王と戦姫&lt;ヴァナディース&gt;　片桐雛太画集』が完結18巻とともに好評発売中です！！ 本編を読み終えた方はこちらに収録の後日譚も見逃せません！ 片桐先生の美麗なイラストと一緒にどうぞお楽しみください！ ⇒ https://t.co/ccKtRy9tp9  https://t.co/5CGrsTbsA0,ja,[],['http://bc.mediafactory.jp/bunkoj/madan/'],"['https://pbs.twimg.com/media/DQ1lnv3UMAAYVBF.jpg', 'https://pbs.twimg.com/media/DQ1lo_bU8AA2QfJ.jpg']",0,37,65,[],[],https://twitter.com/madan_anime/status/940519849779855360,False,,1,https://pbs.twimg.com/media/DQ1lnv3UMAAYVBF.jpg,,,,,,,[],,,,
940169409431191552,940169409431191552,2017-12-11 10:40:29 UTC,2017-12-11,10:40:29,+0000,1192485799,madan_anime,『魔弾の王と戦姫』公式ツイッター,,MF文庫Jより『魔弾の王と戦姫&lt;ヴァナディース&gt;』最終18巻が絶賛発売中です！ ついに王へと至る納得の結末を是非その目でお確かめください！ シリーズ未読の方もぜひこの機会にまとめ読みしてみてはいかがでしょうか？ ⇒ https://t.co/ccKtRy9tp9  https://t.co/a5MVukIYPQ,ja,[],['http://bc.mediafactory.jp/bunkoj/madan/'],"['https://pbs.twimg.com/media/DQwjqO6UEAEdM4q.jpg', 'https://pbs.twimg.com/media/DQwjsbQV4AErxja.jpg']",1,17,36,[],[],https://twitter.com/madan_anime/status/940169409431191552,False,,1,https://pbs.twimg.com/media/DQwjqO6UEAEdM4q.jpg,,,,,,,[],,,,
