id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1411545501783101443,1411521454416429056,2021-07-04 04:40:47 UTC,2021-07-04,04:40:47,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,@oomoriseiko さいこう☺️💫💫💫🖤🖤🖤,ja,[],[],[],0,0,24,[],[],https://twitter.com/usagi_kanae/status/1411545501783101443,False,,0,,,,,,,,"[{'screen_name': 'oomoriseiko', 'name': '大森靖子🌏', 'id': '116026747'}]",,,,
1406244574016598019,1406155144236920847,2021-06-19 13:36:47 UTC,2021-06-19,13:36:47,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,@ymue かわいい話すぎる😂😂😂🎑,ja,[],[],[],1,0,1,[],[],https://twitter.com/usagi_kanae/status/1406244574016598019,False,,0,,,,,,,,"[{'screen_name': 'ymue', 'name': 'yume nomura', 'id': '62917008'}]",,,,
1404817784354136064,1404817784354136064,2021-06-15 15:07:14 UTC,2021-06-15,15:07:14,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,ℝ𝕖𝕞𝕟𝕖𝕙 𝑏𝑦 𝑟𝑢𝑟𝑢𝑚𝑢:  (レムネ　バイ　ルルムウ) ☽♈︎♉︎♊︎♋︎♌︎♍︎♎︎♏︎♐︎♑︎♒︎♓︎☾ です🛌🧸🌙 呼び方は　Remneh(レムネ)でも良いです☺️😴🛋🚪 良い眠り・良い夢へのお供にどうでしょう…🕯🤍🌃,ja,[],[],[],0,22,181,[],[],https://twitter.com/usagi_kanae/status/1404817784354136064,False,https://twitter.com/rurumu_official/status/1404801831511994372,0,,,,,,,,[],,,,
1401003911369035777,1400852959932473348,2021-06-05 02:32:16 UTC,2021-06-05,02:32:16,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,@_bokunou 乙女ツイート😭🌷🌷🌷,ja,[],[],[],0,0,1,[],[],https://twitter.com/usagi_kanae/status/1401003911369035777,False,,0,,,,,,,,"[{'screen_name': '_bokunou', 'name': 'ぼく脳', 'id': '393509852'}]",,,,
1397268987713490945,1397194725778673664,2021-05-25 19:11:01 UTC,2021-05-25,19:11:01,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,@guilty_kyun 川久保玲も26歳でギャルソン始めてる☺️🎀32歳で初ショーなの、私もおそろだからこっからが人生っぽいネ,ja,[],[],[],1,0,55,[],[],https://twitter.com/usagi_kanae/status/1397268987713490945,False,,0,,,,,,,,"[{'screen_name': 'guilty_kyun', 'name': 'ゆっきゅん', 'id': '560237105'}]",,,,
1393546724916948995,1393527792768229379,2021-05-15 12:40:04 UTC,2021-05-15,12:40:04,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,@keito__1214 keito love😭❤️❤️❤️,en,[],[],[],1,0,2,[],[],https://twitter.com/usagi_kanae/status/1393546724916948995,False,,0,,,,,,,,"[{'screen_name': 'keito__1214', 'name': 'KEITO', 'id': '868286491'}]",,,,
1385631055189741569,1385631055189741569,2021-04-23 16:26:01 UTC,2021-04-23,16:26:01,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,コロナで世の中が日本がめちゃくちゃな感じだなぁ…… 東京のみなさま…夜道こわいね… 20時までに家に帰れる仕事じゃないひとたちもめちゃくちゃいるのにな〜 😇😇😇懐中電灯と防犯グッツ買お…,ja,[],[],[],0,10,165,[],[],https://twitter.com/usagi_kanae/status/1385631055189741569,False,,0,,,,,,,,[],,,,
1385244703444987914,1385112360226942982,2021-04-22 14:50:48 UTC,2021-04-22,14:50:48,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,@uplink_jp 😭😭😭😭😭😭😭😭😭😭😭😭,und,[],[],[],0,0,0,[],[],https://twitter.com/usagi_kanae/status/1385244703444987914,False,,0,,,,,,,,"[{'screen_name': 'uplink_jp', 'name': 'UPLINK', 'id': '92204909'}]",,,,
1385244471923679232,1385244471923679232,2021-04-22 14:49:53 UTC,2021-04-22,14:49:53,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,すごい… 2014から今までの縷縷夢兎、rurumu:のレポートです。 感慨深すぎる…,ja,[],[],[],1,10,113,[],[],https://twitter.com/usagi_kanae/status/1385244471923679232,False,https://twitter.com/mashroom_tokyo/status/1385207410202005507,0,,,,,,,,[],,,,
1385139369598545923,1385055806010261509,2021-04-22 07:52:15 UTC,2021-04-22,07:52:15,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,@u_show075 yushoくんの服も哲学も超好きなのでうれしいです……🔥🧶🌙✡️,ja,[],[],[],1,0,2,[],[],https://twitter.com/usagi_kanae/status/1385139369598545923,False,,0,,,,,,,,"[{'screen_name': 'u_show075', 'name': 'yusho kobayashi', 'id': '153667364'}]",,,,
1380908481947951111,1380894506854195205,2021-04-10 15:40:12 UTC,2021-04-10,15:40:12,+0000,115923722,usagi_kanae,東佳苗✵rurumu:||縷縷夢兎𓃹,,@koyubii わかる、小指ちゃんに会う前からぜったい小指ちゃんとお酒呑んで川辺を散歩したいって思ってた、心が…,ja,[],[],[],1,0,0,[],[],https://twitter.com/usagi_kanae/status/1380908481947951111,False,,0,,,,,,,,"[{'screen_name': 'koyubii', 'name': '小林 紗織/小指', 'id': '117497624'}]",,,,
