id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1348972190205558787,1348972190205558787,2021-01-12 12:36:47 UTC,2021-01-12,12:36:47,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,My thoughts exactly. Impeach.  Impeach. Impeach.,en,[],[],[],5,3,53,[],[],https://twitter.com/ckfox_official/status/1348972190205558787,False,https://twitter.com/DevonESawa/status/1348868415121809410,0,,,,,,,,[],,,,
1346934458813874177,1346934458813874177,2021-01-06 21:39:34 UTC,2021-01-06,21:39:34,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,"Impeach Trump now.  Now.  Inciting insurrection is the most despicable act of any sitting president, ever.  Disgrace.",en,[],[],[],10,14,100,[],[],https://twitter.com/ckfox_official/status/1346934458813874177,False,,0,,,,,,,,[],,,,
1346933481310351360,1346932951506964487,2021-01-06 21:35:41 UTC,2021-01-06,21:35:41,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,@amandajanelong Yes lovely.  Yes.,en,[],[],[],0,0,5,[],[],https://twitter.com/ckfox_official/status/1346933481310351360,False,,0,,,,,,,,"[{'screen_name': 'amandajanelong', 'name': 'Amanda Jane', 'id': '447605538'}]",,,,
1329877144323952643,1329869481880018949,2020-11-20 19:59:53 UTC,2020-11-20,19:59:53,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,@daihard Spelling errors!  I will tweet it again with proper English!  🤣 thank you!,en,[],[],[],1,0,3,[],[],https://twitter.com/ckfox_official/status/1329877144323952643,False,,0,,,,,,,,"[{'screen_name': 'daihard', 'name': 'Daigoro Toyama', 'id': '8350442'}]",,,,
1329869664663453696,1329869664663453696,2020-11-20 19:30:10 UTC,2020-11-20,19:30:10,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,This.,en,[],[],[],4,4,24,[],[],https://twitter.com/ckfox_official/status/1329869664663453696,False,https://twitter.com/dies_democracy/status/1329800714818707456,0,,,,,,,,[],,,,
1329869481880018949,1329869481880018949,2020-11-20 19:29:26 UTC,2020-11-20,19:29:26,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,"Stay home, stay safe!",en,[],[],[],9,6,101,[],[],https://twitter.com/ckfox_official/status/1329869481880018949,False,https://twitter.com/Dragonracer73/status/1329853813344382976,0,,,,,,,,[],,,,
1329868383161085957,1329800517917306887,2020-11-20 19:25:04 UTC,2020-11-20,19:25:04,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,@Jim_Jordan @realDonaldTrump You should have shut the country completely down and eradicated this months and months ago.  Instead hundreds of thousands of people have died.  You were concerned with money and “your” economy.  This slow shutting down isn’t working.  We need a lockdown.  Let go of your ego!,en,[],[],[],0,0,1,[],[],https://twitter.com/ckfox_official/status/1329868383161085957,False,,0,,,,,,,,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': '18166778'}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': '25073877'}]",,,,
1329867690568249344,1329800517917306887,2020-11-20 19:22:19 UTC,2020-11-20,19:22:19,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,"@Jim_Jordan @realDonaldTrump Are you kidding me?! That’s fine, why don’t all of you decide somewhere else together like Antarctica.  You go be “free” and dead while we protect our elderly and immunocompromised, like decent human beings.  Shame on all of you!",en,[],[],[],0,0,1,[],[],https://twitter.com/ckfox_official/status/1329867690568249344,False,,0,,,,,,,,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': '18166778'}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': '25073877'}]",,,,
1325147365112643588,1325099845045071873,2020-11-07 18:45:26 UTC,2020-11-07,18:45:26,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,"@realDonaldTrump You didn’t.  But that’s okay.  We will set the table for your supporters.  We will continue to work the problems.  We are Americans.  Thank you for your service, thank you for your time, thank you for everything.  Please graciously pass the baton.",en,[],[],[],1,3,11,[],[],https://twitter.com/ckfox_official/status/1325147365112643588,False,,0,,,,,,,,"[{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': '25073877'}]",,,,
1271285379493068802,1271285379493068802,2020-06-12 03:37:08 UTC,2020-06-12,03:37:08,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,"私たちはまだパジャマを着て自転車に乗っています.  Pajamas, no makeup, all smiles kind of morning.  https://t.co/2ufZ6bAbEA",ja,[],['https://www.instagram.com/p/CBUfhVBHBN4/?igshid=1j0lhsyk45n56'],[],13,14,148,[],[],https://twitter.com/ckfox_official/status/1271285379493068802,False,,0,,,,,,,,[],,,,
1259475163134824449,1259475163134824449,2020-05-10 13:27:33 UTC,2020-05-10,13:27:33,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,"My little heart.  My sweet boy.  My moon and stars.  My teacher.  My boss.  My biggest, best, most beautiful creation- or did you create me?  Thank you for choosing me to be your mama.  I love you fiercely.  https://t.co/1oPJ14MUYR",en,[],['https://www.instagram.com/p/CAAk2oMHTxE/?igshid=1l4zo46bt7hbv'],[],11,26,209,[],[],https://twitter.com/ckfox_official/status/1259475163134824449,False,,0,,,,,,,,[],,,,
1227600639989026818,1227600639989026818,2020-02-12 14:29:34 UTC,2020-02-12,14:29:34,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,運動とハイキング！ 日本で働くことを楽しみにしています！  https://t.co/KjPl9hiGCa,ja,[],['https://www.instagram.com/p/B8eF_9En_NQ/?igshid=1pks2mglk78xh'],[],5,8,170,[],[],https://twitter.com/ckfox_official/status/1227600639989026818,False,,0,,,,,,,,[],,,,
1225185819905941504,1225185819905941504,2020-02-05 22:33:56 UTC,2020-02-05,22:33:56,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,🌟 🚀 🌙 👨‍🚀  https://t.co/QG8QsNwvjo,und,[],['https://www.instagram.com/p/B8M73cEHM27/?igshid=ldars1yjdt03'],[],6,7,88,[],[],https://twitter.com/ckfox_official/status/1225185819905941504,False,,0,,,,,,,,[],,,,
1221571035931336704,1221571035931336704,2020-01-26 23:10:05 UTC,2020-01-26,23:10:05,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,❤️.  https://t.co/AI37Avo8MR,und,[],['https://www.instagram.com/p/B7zQDYxnh5w/?igshid=1ra0c6nq6pvpx'],[],8,13,119,[],[],https://twitter.com/ckfox_official/status/1221571035931336704,False,,0,,,,,,,,[],,,,
1213092264572006401,1213092264572006401,2020-01-03 13:38:28 UTC,2020-01-03,13:38:28,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,👶 🏊‍♂️ 🎉!!  https://t.co/UByQSDtltt,und,[],['https://www.instagram.com/p/B62_9p7HUME/?igshid=egbbu2pdgkir'],[],10,12,117,[],[],https://twitter.com/ckfox_official/status/1213092264572006401,False,,0,,,,,,,,[],,,,
1211735627097661441,1211735627097661441,2019-12-30 19:47:41 UTC,2019-12-30,19:47:41,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,This girl!  💕  https://t.co/HlqBRxUy0z,en,[],['https://www.instagram.com/p/B6tXbNyHFRA/?igshid=1x9cuqt9ljet'],[],5,5,89,[],[],https://twitter.com/ckfox_official/status/1211735627097661441,False,,0,,,,,,,,[],,,,
1209538390774943744,1209538390774943744,2019-12-24 18:16:39 UTC,2019-12-24,18:16:39,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,Happy holidays!  💕 🌲 🌙   メリークリスマス!!!  https://t.co/GViZW3YFF3,ja,[],['https://www.instagram.com/p/B6dwPJ9nBR6/?igshid=1wpgu7gan89zb'],[],14,16,204,[],[],https://twitter.com/ckfox_official/status/1209538390774943744,False,,0,,,,,,,,[],,,,
1207013612872712192,1207013612872712192,2019-12-17 19:04:05 UTC,2019-12-17,19:04:05,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,Love.  https://t.co/ejCWk0Yedj,en,[],['https://www.instagram.com/p/B6L0GohHSzu/?igshid=smoajwu0mkgw'],[],5,5,103,[],[],https://twitter.com/ckfox_official/status/1207013612872712192,False,,0,,,,,,,,[],,,,
1206402245740421122,1206402245740421122,2019-12-16 02:34:43 UTC,2019-12-16,02:34:43,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,My first baby.  ❤️  https://t.co/92FbdZKHe7,en,[],['https://www.instagram.com/p/B6HeFgBnbCl/?igshid=1b8cxhdrxglc'],[],7,8,119,[],[],https://twitter.com/ckfox_official/status/1206402245740421122,False,,0,,,,,,,,[],,,,
1205154245399461888,1205154245399461888,2019-12-12 15:55:37 UTC,2019-12-12,15:55:37,+0000,527881007,ckfox_official,Charlotte Kate Fox | シャーロット・ケイト・フォックス,,"Life has slowed down.  Baths, giggles, smiles, sounds, touches, hugs, snuggles, sunlight, walks, stories- everyday and everything is new to him- and has become new to me.  This simplicity-this joy-this juicy…  https://t.co/1QXizj8Lis",en,[],['https://www.instagram.com/p/B5-mjubnrxi/?igshid=ibmxsvbclkqm'],[],10,18,168,[],[],https://twitter.com/ckfox_official/status/1205154245399461888,False,,0,,,,,,,,[],,,,
