id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413504332469706757,1413501566745600006,2021-07-09 14:24:29 UTC,2021-07-09,14:24:29,+0000,617080119,abadango,あばだんご🍡 | SNB,,@Yakarashi03 外してもどうしてだよぉし得だったわ…,ja,[],[],[],1,0,3,[],[],https://twitter.com/Abadango/status/1413504332469706757,False,,0,,,,,,,,"[{'screen_name': 'Yakarashi03', 'name': 'やから', 'id': '3391985834'}]",,,,
1413501566745600006,1413501566745600006,2021-07-09 14:13:29 UTC,2021-07-09,14:13:29,+0000,617080119,abadango,あばだんご🍡 | SNB,,アイス食い忘れたのだけ後悔してる,ja,[],[],[],3,1,174,[],[],https://twitter.com/Abadango/status/1413501566745600006,False,,0,,,,,,,,[],,,,
1413499194023694343,1413499194023694343,2021-07-09 14:04:04 UTC,2021-07-09,14:04:04,+0000,617080119,abadango,あばだんご🍡 | SNB,,みんな見てくれてありがとう、いい勝負できて良かったです😁 #夏ポケカ1stバトル,ja,[],[],[],8,7,354,['夏ポケカ1stバトル'],[],https://twitter.com/Abadango/status/1413499194023694343,False,,0,,,,,,,,[],,,,
1413489884996661249,1413489884996661249,2021-07-09 13:27:04 UTC,2021-07-09,13:27:04,+0000,617080119,abadango,あばだんご🍡 | SNB,,まひは古来から最強技って言われてっから #夏ポケカ1stバトル,ja,[],[],[],7,25,360,['夏ポケカ1stバトル'],[],https://twitter.com/Abadango/status/1413489884996661249,False,,0,,,,,,,,[],,,,
1413478330519547916,1413478330519547916,2021-07-09 12:41:09 UTC,2021-07-09,12:41:09,+0000,617080119,abadango,あばだんご🍡 | SNB,,奇跡が連なって決勝これた！本郷奏多君と対戦すぐ！,ja,[],[],[],9,64,481,[],[],https://twitter.com/Abadango/status/1413478330519547916,False,https://twitter.com/ponyta141/status/1413467181895933956,0,,,,,,,,[],,,,
1413415694943735808,1413415694943735808,2021-07-09 08:32:16 UTC,2021-07-09,08:32:16,+0000,617080119,abadango,あばだんご🍡 | SNB,,まもなくというかいま始まってる！ポケカ新弾でシールド戦するぞ！初戦まふちゃん！,ja,[],[],[],3,20,169,[],[],https://twitter.com/Abadango/status/1413415694943735808,False,https://twitter.com/ponyta141/status/1413067094892052482,0,,,,,,,,[],,,,
1413136788604915716,1413136788604915716,2021-07-08 14:03:59 UTC,2021-07-08,14:03:59,+0000,617080119,abadango,あばだんご🍡 | SNB,,【1000投】最もオモテが出やすいコインを決めようじゃないですか【本郷奏多の日常】  https://t.co/UMq7izYRCw @YouTubeより,ja,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['https://youtu.be/YfZpRk0inlo'],[],0,0,47,[],[],https://twitter.com/Abadango/status/1413136788604915716,False,,0,,,,,,,,[],,,,
1413081300487966727,1413079946168135681,2021-07-08 10:23:30 UTC,2021-07-08,10:23:30,+0000,617080119,abadango,あばだんご🍡 | SNB,,@GOD_YOMI Zガンダムっぽくていいね,ja,[],[],[],1,0,9,[],[],https://twitter.com/Abadango/status/1413081300487966727,False,,0,,,,,,,,"[{'screen_name': 'GOD_YOMI', 'name': 'YOMI', 'id': '1180098618507714560'}]",,,,
1413079643733721088,1413079643733721088,2021-07-08 10:16:55 UTC,2021-07-08,10:16:55,+0000,617080119,abadango,あばだんご🍡 | SNB,,ZETA DIVISIONかっけ〜,ja,[],[],[],0,1,82,[],[],https://twitter.com/Abadango/status/1413079643733721088,False,,0,,,,,,,,[],,,,
1413065866577465344,1413065866577465344,2021-07-08 09:22:10 UTC,2021-07-08,09:22:10,+0000,617080119,abadango,あばだんご🍡 | SNB,,スマブラの思考を垂れ流すアカウントが欲しい俺vsどうせめんどくさくなって本垢でツイートしてしまう俺,ja,[],[],[],6,17,759,[],[],https://twitter.com/Abadango/status/1413065866577465344,False,,0,,,,,,,,[],,,,
